event_name,clean_page_location,unique_users
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Zip+Hoodie,813
user_engagement,shop.googlemerchandisestore.com/Google+RMG+Redesign/Lifestyle/Mural+Food+Container,812
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Crew+Socks,812
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Garden+Tee+Orange,810
scroll,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing,809
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Garden+Tee+Orange,805
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Charcoal+Onesie,803
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Google+Kick+Ball,802
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Charcoal+Onesie,800
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Womens+Eco+Tee,798
user_engagement,shop.googlemerchandisestore.com/store-policies/privacy-policy,798
page_view,shop.googlemerchandisestore.com/Google+Redesign/Accessories,797
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Womens+Eco+Tee,796
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Navy,796
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Navy,795
page_view,shop.googlemerchandisestore.com/store-policies/terms-of-use,794
page_view,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+Land+and+Sea+Journal+Set,790
view_item,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+Land+and+Sea+Journal+Set,790
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mural+Socks,790
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Navy,789
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mural+Socks,789
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+Land+and+Sea+Journal+Set,787
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Grey,787
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Charcoal+Onesie,786
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Grey,784
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Tote+Bag,783
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Tote+Bag,783
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mural+Socks,783
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Land+and+Sea+Tote+Bag,779
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Stan+and+Friends+Tee+Green,778
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Stan+and+Friends+Tee+Green,777
session_start,shop.googlemerchandisestore.com/Google+Redesign/Accessories,776
page_view,shop.googlemerchandisestore.com/Google+Redesign/ApparelGoogle+Beekeepers+Tee+Mint,774
user_engagement,shop.googlemerchandisestore.com/store-policies/terms-of-use,772
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Striped+Athletic+Sock,770
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/ApparelGoogle+Beekeepers+Tee+Mint,768
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Striped+Athletic+Sock,768
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+V2+Black,768
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+V2+Black,767
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Hero+Tee+Olive,763
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Striped+Athletic+Sock,763
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Hero+Tee+Olive,763
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Tee+Charcoal,762
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Tee+Charcoal,761
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Hero+Tee+Olive,760
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+FC+Tee+Charcoal,760
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Combed+Cotton+Sock,758
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+Tee+White,757
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+Tee+White,757
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Combed+Cotton+Sock,757
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Combed+Cotton+Sock,755
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+V2+Black,755
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Hero+Tee+Grey,754
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Hero+Tee+Grey,754
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Ladies+T-Shirt,753
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Toddler+Tee+White,753
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Youth+Hero+Tee+Grey,752
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Ladies+T-Shirt,752
session_start,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,749
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Badge+Heavyweight+Pullover+Black,748
page_view,shop.googlemerchandisestore.com/Google+Redesign/Wearables/Men+s+T-Shirts,742
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Beanie,741
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Beanie,741
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Beanie,739
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Wearables/Men+s+T-Shirts,735
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+White,735
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+White,734
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+Green,734
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+Green,734
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+Green,732
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/IamRemarkable+Ladies+T-Shirt,731
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+White,729
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Sock,727
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Sock,727
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Sock,725
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Google+Striped+LS,723
view_item,shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,723
view_item,shop.googlemerchandisestore.com/Google+Redesign/Stationery,721
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Badge+Heavyweight+Pullover+Black,720
